Dataset,Original source,Number of features,Number of data points
Rotten Tomatoes Movies,https://www.kaggle.com/datasets/andrezaza/clapper-massive-rotten-tomatoes-movies-and-reviews?select=rotten_tomatoes_movie_reviews.csv,16,142052
IMDB Movies 2000-2020,https://www.kaggle.com/datasets/chenyanglim/imdb-v2,24,5487
IMDb Movie,https://ieee-dataport.org/open-access/imdb-movie-reviews-dataset,10,1700
TMDb,https://www.kaggle.com/datasets/ritayandhara/tmdb-dataset,22,10000
The Ultimate 1Million Movies Dataset (TMDB + IMDb),https://www.kaggle.com/datasets/alanvourch/tmdb-movies-daily-updates,28,1.01m
IMDb Movie Reviews,https://ieee-dataport.org/open-access/imdb-movie-reviews-dataset,7,931565
IMDb Review Dataset - ebD,https://www.kaggle.com/datasets/ebiswas/imdb-review-dataset?select=part-02.json,9,"5,571,499"
Rotten Tomatoes Reviews,https://www.kaggle.com/datasets/andrezaza/clapper-massive-rotten-tomatoes-movies-and-reviews?select=rotten_tomatoes_movie_reviews.csv,11,"69,263"
Movielens 1M (movies.dat),https://grouplens.org/datasets/movielens/1m/,3,"3,883"
Movielens 1M (ratings.dat),https://grouplens.org/datasets/movielens/1m/,4,"1,000,209"
Movielens 1M (users.dat),https://grouplens.org/datasets/movielens/1m/,5,"6,040"
"The Oscar Award, 1927-2024",https://www.kaggle.com/datasets/unanimad/the-oscar-award,7,10889
"US BLS Monthly CPI, 1915 - 2024",https://data.bls.gov/dataViewer/view/timeseries/CUUR0000SA0,5,1317
